identifier,title,date,creator,venue,url
ajc01590_mik_2007-04-19,Magic Is Küntmaster Live at Empty Bottle 2007-04-19,4/19/07,Magic Is Küntmaster,Empty Bottle,https://archive.org/details/ajc01590_mik_2007-04-19
ajc01591_vertonen_2007-04-19,Vertonen Live at Empty Bottle 2007-04-19,4/19/07,Vertonen,Empty Bottle,https://archive.org/details/ajc01591_vertonen_2007-04-19
ajc01592_sikhara2007-04-19,Sikhara Live at Empty Bottle 2007-04-19,4/19/07,Sikhara,Empty Bottle,https://archive.org/details/ajc01592_sikhara2007-04-19
ajc01593_hey_champ_2007-05-25,Hey Champ Live at Metro 2007-05-25,5/25/07,Hey Champ,Metro,https://archive.org/details/ajc01593_hey_champ_2007-05-25
ajc01594_silent_years_2007-05-25,The Silent Years Live at Metro 2007-05-25,5/25/07,The Silent Years,Metro,https://archive.org/details/ajc01594_silent_years_2007-05-25
ajc01595_skybox_2007-05-25,Skybox Live at Metro 2007-05-25,5/25/07,Skybox,Metro,https://archive.org/details/ajc01595_skybox_2007-05-25
ajc01596_canyon-2010-03-31,Canyon Live at Bottom Lounge 2010-03-31,3/31/10,Canyon,Bottom Lounge,https://archive.org/details/ajc01596_canyon-2010-03-31
ajc01597_apteka_2010-03-31,Apteka Live at Bottom Lounge 2010-03-31,3/31/10,Apteka,Bottom Lounge,https://archive.org/details/ajc01597_apteka_2010-03-31
ajc01598_welcome-to-ashley-2010-04-16,Welcome To Ashley Live at Double Door 2010-04-16,4/16/10,Welcome To Ashley,Double Door,https://archive.org/details/ajc01598_welcome-to-ashley-2010-04-16
ajc01599_girl-in-acoma-2010-04-16,Girl In A Coma Live at Double Door 2010-04-16,4/16/10,Girl In A Coma,Double Door,https://archive.org/details/ajc01599_girl-in-acoma-2010-04-16
ajc01600_great-bloomers-2010-08-28,Great Bloomers Live at Schubas Tavern 2010-08-28,8/28/10,Great Bloomers,Schubas Tavern,https://archive.org/details/ajc01600_great-bloomers-2010-08-28
ajc01601_the-wooden-sky-2010-08-28,The Wooden Sky Live at Schubas Tavern 2010-08-28,8/28/10,The Wooden Sky,Schubas Tavern,https://archive.org/details/ajc01601_the-wooden-sky-2010-08-28
ajc01602_robtsarazinblake2010-03-07.ajcproject,Robert Sarazin Blake Live at Schubas Tavern on 2010-03-07,3/7/10,Robert Sarazin Blake,Schubas Tavern,https://archive.org/details/ajc01602_robtsarazinblake2010-03-07.ajcproject
ajc01603_ami-saraiya-2010-03-07,Ami Saraiya Live at Schubas Tavern 2010-03-07,3/7/10,Ami Saraiya,Schubas Tavern,https://archive.org/details/ajc01603_ami-saraiya-2010-03-07
ajc01604_canasta_2005-04-10,Canasta Live at WLUW Record Fair 2005-04-10,4/10/05,Canasta,WLUW Record Fair 2005-04-10,https://archive.org/details/ajc01604_canasta_2005-04-10
ajc01605_colossal_2005-04-10,Colossal Live at WLUW Record Fair 2005-04-10,4/10/05,Colossal,WLUW Record Fair 2005-04-10,https://archive.org/details/ajc01605_colossal_2005-04-10
ajc01606_lbop_2005-04-10,Lesser Birds Of Paradise Live at WLUW Record Fair 2005-04-10,4/10/05,Lesser Birds Of Paradise,WLUW Record Fair 2005-04-10,https://archive.org/details/ajc01606_lbop_2005-04-10
ajc01607_unique_chique_2005-04-10,Unique Chique Live at WLUW Record Fair 2005-04-10,4/10/05,Unique Chique,WLUW Record Fair 2005-04-10,https://archive.org/details/ajc01607_unique_chique_2005-04-10
ajc01608_nathaniel_carroll_2005-04-10,Nathaniel Carroll Live at WLUW Record Fair 2005-04-10,4/10/05,Nathaniel Carroll,WLUW Record Fair 2005-04-10,https://archive.org/details/ajc01608_nathaniel_carroll_2005-04-10
ajc01609_city_on_film_2005-04-10,The City On Film Live at WLUW Record Fair 2005-04-10,4/10/05,The City On Film,WLUW Record Fair 2005-04-10,https://archive.org/details/ajc01609_city_on_film_2005-04-10
ajc01610_morning_recordings_2005-04-10,Morning Recordings Live at WLUW Record Fair 2005-04-10,4/10/10,Morning Recordings,WLUW Record Fair 2005-04-10,https://archive.org/details/ajc01610_morning_recordings_2005-04-10
ajc01611_30-in-60_2004-05-27,30 Bands in 60 Minutes Live at Metro 2004-05-27,5/27/04,30 Bands in 60 Minutes,Metro 2004-05-27,https://archive.org/details/ajc01611_30-in-60_2004-05-27
ajc01613_carolina-2003-09-23,Carolina Live at Fireside Bowl 2003-03-23,9/23/03,Carolina,Fireside Bowl,https://archive.org/details/ajc01613_carolina-2003-09-23
ajc01614_braille-2003-09-23,Braille Live at Fireside Bowl 2003-09-23,9/23/03,Braille,Fireside Bowl,https://archive.org/details/ajc01614_braille-2003-09-23
